index;Review;Liked;dataCleaning;hilangkan_kapital;Review_clean;Review_clean_V2
134;Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.;1;Delicious NYC bagels good selections of cream cheese real Lox with capers even;delicious nyc bagels good selections of cream cheese real lox with capers even;['delicious', 'nyc', 'bagels', 'good', 'selections', 'cream', 'cheese', 'real', 'lox', 'capers', 'even'];delicious nyc bagels good selections cream cheese real lox capers even
135;Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.;1;Great Subway in fact it s so good when you come here every other Subway will not meet your expectations;great subway in fact it s so good when you come here every other subway will not meet your expectations;['great', 'subway', 'fact', 'good', 'come', 'every', 'subway', 'meet', 'expectations'];great subway fact good come every subway meet expectations
136;I had a seriously solid breakfast here.;1;I had a seriously solid breakfast here;i had a seriously solid breakfast here;['seriously', 'solid', 'breakfast'];seriously solid breakfast
137;This is one of the best bars with food in Vegas.;1;This is one of the best bars with food in Vegas;this is one of the best bars with food in vegas;['one', 'best', 'bars', 'food', 'vegas'];one best bars food vegas
138;He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.;0;He was extremely rude and really there are so many other restaurants I would love to dine at during a weekend in Vegas;he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas;['extremely', 'rude', 'really', 'many', 'restaurants', 'would', 'love', 'dine', 'weekend', 'vegas'];extremely rude really many restaurants would love dine weekend vegas
139;My drink was never empty and he made some really great menu suggestions.;1;My drink was never empty and he made some really great menu suggestions;my drink was never empty and he made some really great menu suggestions;['drink', 'never', 'empty', 'made', 'really', 'great', 'menu', 'suggestions'];drink never empty made really great menu suggestions
140;Don't do it!!!!;0;Don t do it;don t do it;[];
141;The waiter wasn't helpful or friendly and rarely checked on us.;0;The waiter wasn t helpful or friendly and rarely checked on us;the waiter wasn t helpful or friendly and rarely checked on us;['waiter', 'helpful', 'friendly', 'rarely', 'checked', 'us'];waiter helpful friendly rarely checked us
142;My husband and I ate lunch here and were very disappointed with the food and service.;0;My husband and I ate lunch here and were very disappointed with the food and service;my husband and i ate lunch here and were very disappointed with the food and service;['husband', 'ate', 'lunch', 'disappointed', 'food', 'service'];husband ate lunch disappointed food service
143;And the red curry had so much bamboo shoots and wasn't very tasty to me.;0;And the red curry had so much bamboo shoots and wasn t very tasty to me;and the red curry had so much bamboo shoots and wasn t very tasty to me;['red', 'curry', 'much', 'bamboo', 'shoots', 'tasty'];red curry much bamboo shoots tasty
144;Nice blanket of moz over top but i feel like this was done to cover up the subpar food.;1;Nice blanket of moz over top but i feel like this was done to cover up the subpar food;nice blanket of moz over top but i feel like this was done to cover up the subpar food;['nice', 'blanket', 'moz', 'top', 'feel', 'like', 'done', 'cover', 'subpar', 'food'];nice blanket moz top feel like done cover subpar food
145;The bathrooms are clean and the place itself is well decorated.;1;The bathrooms are clean and the place itself is well decorated;the bathrooms are clean and the place itself is well decorated;['bathrooms', 'clean', 'place', 'well', 'decorated'];bathrooms clean place well decorated
146;The menu is always changing, food quality is going down & service is extremely slow.;0;The menu is always changing food quality is going down service is extremely slow;the menu is always changing food quality is going down service is extremely slow;['menu', 'always', 'changing', 'food', 'quality', 'going', 'service', 'extremely', 'slow'];menu always changing food quality going service extremely slow
147;The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.;0;The service was a little slow considering that were served by people servers so the food was coming in a slow pace;the service was a little slow considering that were served by people servers so the food was coming in a slow pace;['service', 'little', 'slow', 'considering', 'served', 'people', 'servers', 'food', 'coming', 'slow', 'pace'];service little slow considering served people servers food coming slow pace
148;I give it 2 thumbs down;0;I give it thumbs down;i give it thumbs down;['give', 'thumbs'];give thumbs
149;We watched our waiter pay a lot more attention to other tables and ignore us.;0;We watched our waiter pay a lot more attention to other tables and ignore us;we watched our waiter pay a lot more attention to other tables and ignore us;['watched', 'waiter', 'pay', 'lot', 'attention', 'tables', 'ignore', 'us'];watched waiter pay lot attention tables ignore us
150;My fiancé and I came in the middle of the day and we were greeted and seated right away.;1;My fianc and I came in the middle of the day and we were greeted and seated right away;my fianc and i came in the middle of the day and we were greeted and seated right away;['fianc', 'came', 'middle', 'day', 'greeted', 'seated', 'right', 'away'];fianc came middle day greeted seated right away
151;This is a great restaurant at the Mandalay Bay.;1;This is a great restaurant at the Mandalay Bay;this is a great restaurant at the mandalay bay;['great', 'restaurant', 'mandalay', 'bay'];great restaurant mandalay bay
152;We waited for forty five minutes in vain.;0;We waited for forty five minutes in vain;we waited for forty five minutes in vain;['waited', 'forty', 'five', 'minutes', 'vain'];waited forty five minutes vain
153;Crostini that came with the salad was stale.;0;Crostini that came with the salad was stale;crostini that came with the salad was stale;['crostini', 'came', 'salad', 'stale'];crostini came salad stale
154;Some highlights : Great quality nigiri here!;1;Some highlights Great quality nigiri here;some highlights great quality nigiri here;['highlights', 'great', 'quality', 'nigiri'];highlights great quality nigiri
155;the staff is friendly and the joint is always clean.;1;the staff is friendly and the joint is always clean;the staff is friendly and the joint is always clean;['staff', 'friendly', 'joint', 'always', 'clean'];staff friendly joint always clean
156;this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.;1;this was a different cut than the piece the other day but still wonderful and tender s well as well flavored;this was a different cut than the piece the other day but still wonderful and tender s well as well flavored;['different', 'cut', 'piece', 'day', 'still', 'wonderful', 'tender', 'well', 'well', 'flavored'];different cut piece day still wonderful tender well well flavored
157;I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.;1;I ordered the Voodoo pasta and it was the first time I d had really excellent pasta since going gluten free several years ago;i ordered the voodoo pasta and it was the first time i d had really excellent pasta since going gluten free several years ago;['ordered', 'voodoo', 'pasta', 'first', 'time', 'really', 'excellent', 'pasta', 'since', 'going', 'gluten', 'free', 'several', 'years', 'ago'];ordered voodoo pasta first time really excellent pasta since going gluten free several years ago
158;this place is good.;1;this place is good;this place is good;['place', 'good'];place good
